Feature,Gain,Cover,Frequency,stand,spec
cax,0.0354659009070253,0.0589607062289487,0.0434717208182912,L,B2h
az_diff,0.0319403236178322,0.0779329121548828,0.0467809867629362,L,B2h
release_pos_z,0.0313244154733921,0.0297383434740826,0.0518652226233454,L,B2h
release_spin_rate,0.0287676437186917,0.0305275657209365,0.05073706377858,L,B2h
arm_angle,0.0277338682321717,0.016615154709976,0.0495938628158845,L,B2h
axis_diff,0.023473346866686,0.0278976248513408,0.0399217809867629,L,B2h
sax,0.0200338422919943,0.0216058394957084,0.0308212996389892,L,B2h
ax_diff,0.0190332871592749,0.0346573621020238,0.0318892900120337,L,B2h
pfx_x_diff,0.0187507517102009,0.0320883329939948,0.0282641395908544,L,B2h
release_extension,0.0171465738663118,0.00904486235699032,0.0276925391095066,L,B2h
vaa,0.332279933649531,0.198391824650023,0.135681399631676,L,B2
az,0.096731764827564,0.042252183295033,0.0595303867403315,L,B2
release_speed,0.0874889251576696,0.0859430007490753,0.0664364640883978,L,B2
release_pos_z,0.0822407238849064,0.0422300269200432,0.0732965009208103,L,B2
haa,0.076138612629009,0.151070841191428,0.0835635359116022,L,B2
speed_diff,0.0483584875411067,0.072666166859822,0.0493554327808472,L,B2
pfx_z,0.0476044345869429,0.0168079216263078,0.0330570902394107,L,B2
release_pos_x,0.0380932187219547,0.0309644944011421,0.0638581952117864,L,B2
pitcher_q,0.0336071641194672,0.0300975718625784,0.0499079189686924,L,B2
ax,0.0264159905650879,0.00829649255281981,0.0444290976058932,L,B2
pfx_x,0.023264818308452,0.0175238623904662,0.0382596685082873,L,B2
release_extension,0.0155964348210084,0.0146600120290163,0.0271178637200737,L,B2
cax,0.0136189715479349,0.0522558564467543,0.0335174953959484,L,B2
arm_angle,0.0135650588832527,0.0137525991040621,0.0406537753222836,L,B2
release_spin_rate,0.0116827152398072,0.0397511876232883,0.0410681399631676,L,B2
pfx_z_diff,0.0110802704989044,0.0216984167827159,0.0261049723756906,L,B2
axis_diff,0.00946631690466861,0.0346073211914028,0.0305709023941068,L,B2
az_diff,0.00875482272700111,0.0211193779071512,0.0289594843462247,L,B2
pfx_x_diff,0.00820605516483256,0.0401513992501627,0.0240791896869245,L,B2
ax_diff,0.00806894351697038,0.039526001517199,0.0252762430939227,L,B2
sax,0.00773633670392811,0.0262334416495086,0.0252762430939227,L,B2
