pitcher,season,pitch_type,arm,relx,relz,ht_in,p_throws,ht_ft,ax
518617,2024,ST,18.2948275862069,4.23793103448276,5.47741379310345,76,L,6.33333333333333,4.23793103448276
518876,2023,SL,28.6622222222222,-1.72022222222222,5.55844444444444,74,R,6.16666666666667,1.72022222222222
518876,2026,SL,24.925,-1.8168,5.4314,74,R,6.16666666666667,1.8168
518876,2024,SL,27.5507692307692,-1.79338461538461,5.52369230769231,74,R,6.16666666666667,1.79338461538461
518876,2025,SL,25.921359223301,-1.83776699029126,5.53456310679612,74,R,6.16666666666667,1.83776699029126
518876,2025,CH,24.6145785876993,-1.86637813211845,5.50767653758544,74,R,6.16666666666667,1.86637813211845
518876,2024,CH,26.0294117647059,-1.82361344537815,5.53235294117647,74,R,6.16666666666667,1.82361344537815
518876,2026,CH,24.4594594594595,-1.84957528957529,5.43822393822395,74,R,6.16666666666667,1.84957528957529
518876,2023,CH,27.72,-1.74593939393939,5.56715151515151,74,R,6.16666666666667,1.74593939393939
518876,2025,CU,29.6208695652174,-1.84904347826087,5.67591304347826,74,R,6.16666666666667,1.84904347826087
518876,2026,CU,28.5092307692308,-1.85923076923077,5.58292307692308,74,R,6.16666666666667,1.85923076923077
518876,2023,CU,32.0024390243903,-1.71487804878049,5.71,74,R,6.16666666666667,1.71487804878049
518886,2026,ST,24.0926829268293,-3.18219512195122,4.74756097560976,72,R,6,3.18219512195122
518886,2023,KC,28.6602739726027,-2.94671232876712,4.95972602739726,72,R,6,2.94671232876712
518886,2024,KC,29.3076923076923,-2.77285714285714,4.91835164835165,72,R,6,2.77285714285714
519008,2024,ST,16.6596638655462,2.04957983193277,5.38546218487395,75,L,6.25,2.04957983193277
519008,2025,ST,17.4108695652174,2.02565217391304,5.44304347826087,75,L,6.25,2.02565217391304
519008,2024,CH,15.8818181818182,2.046,5.47945454545455,75,L,6.25,2.046
519043,2023,KC,50.162,0.924,6.4134,75,L,6.25,0.924
519043,2024,CH,45.7022388059701,0.872686567164179,6.41582089552239,75,L,6.25,0.872686567164179
519043,2023,CH,47.2506666666667,1.0412,6.39573333333334,75,L,6.25,1.0412
519043,2024,KC,49.0122448979592,0.77734693877551,6.44551020408163,75,L,6.25,0.77734693877551
519141,2025,KC,38.4949367088608,2.38708860759494,6.21936708860759,77,L,6.41666666666667,2.38708860759494
519141,2026,KC,36.925,2.03192307692308,6.05692307692308,77,L,6.41666666666667,2.03192307692308
519151,2023,CU,59.7454545454546,-0.32969696969697,5.96924242424242,74,R,6.16666666666667,0.32969696969697
519151,2024,CH,51.6693877551021,-0.736938775510204,5.82163265306122,74,R,6.16666666666667,0.736938775510204
519151,2025,CU,56.7765625,-0.653125,5.97375,74,R,6.16666666666667,0.653125
519151,2024,CU,57.295652173913,-0.509826086956522,5.99539130434783,74,R,6.16666666666667,0.509826086956522
519151,2024,SL,58.4745098039216,-0.415163398692811,5.99732026143791,74,R,6.16666666666667,0.415163398692811
519151,2023,SL,60.3743243243243,-0.254189189189189,5.97297297297297,74,R,6.16666666666667,0.254189189189189
519151,2025,SL,57.7402777777778,-0.559444444444445,5.96597222222222,74,R,6.16666666666667,0.559444444444445
519242,2026,SL,11.1305637982196,2.98311572700297,4.7893768545994,78,L,6.5,2.98311572700297
519242,2025,SL,8.49692307692308,3.09912087912088,4.84162637362638,78,L,6.5,3.09912087912088
519242,2024,SL,11.2653703703704,3.08837037037037,5.10857407407407,78,L,6.5,3.08837037037037
519242,2023,SL,12.8116279069768,3.29341085271318,5.22744186046512,78,L,6.5,3.29341085271318
519242,2023,CH,5.03658536585366,3.33975609756098,4.81829268292683,78,L,6.5,3.33975609756098
519242,2026,CH,7.67747747747747,3.04783783783784,4.60963963963964,78,L,6.5,3.04783783783784
519242,2024,CH,6.56716417910448,3.15965174129353,4.82985074626866,78,L,6.5,3.15965174129353
519242,2025,CH,4.17972972972973,3.15783783783784,4.59837837837838,78,L,6.5,3.15783783783784
519293,2024,SL,43.1941605839416,1.56021897810219,6.40817518248175,77,L,6.41666666666667,1.56021897810219
519293,2023,SL,42.67,1.4605,6.4934,77,L,6.41666666666667,1.4605
519293,2024,CH,46.6866666666667,1.47577777777778,6.478,77,L,6.41666666666667,1.47577777777778
519326,2024,SL,28.5617647058823,-3.20205882352941,5.75102941176471,75,R,6.25,3.20205882352941
519326,2025,SL,30.6849056603774,-2.97396226415094,5.79377358490566,75,R,6.25,2.97396226415094
519326,2024,ST,33.995,-3.09425,5.95575,75,R,6.25,3.09425
521230,2025,SL,46.175,-1.7925,5.79875,72,R,6,1.7925
523260,2024,SL,32.5727272727273,-1.89054545454545,5.40854545454546,73,R,6.08333333333333,1.89054545454545
527048,2026,CU,48.7022727272727,1.14227272727273,5.71227272727273,72,L,6,1.14227272727273
527048,2024,CH,46.3378378378378,1.12818532818533,5.73347490347491,72,L,6,1.12818532818533
527048,2024,CU,50.2983870967742,1.10572580645161,5.82564516129033,72,L,6,1.10572580645161
527048,2026,CH,42.9537777777778,1.21817777777778,5.54817777777777,72,L,6,1.21817777777778
527048,2023,CH,43.7197368421053,1.35697368421053,5.55118421052632,72,L,6,1.35697368421053
527048,2025,CH,45.1132231404959,1.1496694214876,5.64520661157025,72,L,6,1.1496694214876
542585,2023,SL,32.0983606557377,-1.52295081967213,5.43,75,R,6.25,1.52295081967213
542881,2023,CH,57.0193181818182,1.55534090909091,6.47335227272727,74,L,6.16666666666667,1.55534090909091
542881,2025,CH,59.2002469135803,1.2963950617284,6.46646913580247,74,L,6.16666666666667,1.2963950617284
542881,2024,CH,62.2967924528302,1.29066037735849,6.53250943396226,74,L,6.16666666666667,1.29066037735849
542888,2026,ST,42.208064516129,-1.54564516129032,5.86096774193549,74,R,6.16666666666667,1.54564516129032
542888,2025,ST,44.1289719626168,-1.43485981308411,5.8885046728972,74,R,6.16666666666667,1.43485981308411
543037,2023,SL,41.2141791044776,-2.24097014925373,5.90761194029851,76,R,6.33333333333333,2.24097014925373
