pitcher,season,n_ch,est_ch,true_ch,n_ff,est_ff,true_ff,player_name,name,pass,truly,nsw,axis_gap,arm,velo_sep,resid,gap_band
668674,2026,102,0.968922886965903,0.953,216,0.973644856416634,0.988,"Erceg, Lucas",Lucas Erceg,TRUE,TRUE,49,14.5964576707739,40.8612244897959,7.54715608465608,-9.49463368973018,10-20
608344,2024,227,0.953391641053968,0.992,377,1.01874382608308,0.977,"Irvin, Cole",Cole Irvin,TRUE,TRUE,133,14.6090703956865,39.0699248120301,6.72190476190477,1.42784761320385,10-20
650893,2024,79,0.997764716484515,0.99,199,1.0058496705466,0.972,"Cabrera, Génesis",Génesis Cabrera,TRUE,TRUE,27,14.6205756154735,42.0111111111111,7.68200260562069,17.9557601158697,10-20
547179,2025,401,0.940421517871505,0.973,511,0.925832493392902,0.954,"Lorenzen, Michael",Michael Lorenzen,TRUE,TRUE,210,14.7167888474733,42.0638095238095,10.0975016307893,11.4567326138571,10-20
571760,2023,161,0.946806334684936,0.993,603,0.968292277253867,0.994,"Heaney, Andrew",Andrew Heaney,TRUE,TRUE,254,14.7558930555028,30.4377952755906,8.45935385983728,-1.68823699998842,10-20
666200,2024,252,0.960099515188802,0.994,386,1.0182951901671,0.975,"Luzardo, Jesús",Jesús Luzardo,TRUE,TRUE,142,14.7570878430262,38.8556338028169,8.86709844559586,1.1543731404523,10-20
666142,2026,105,0.990164842881932,0.99,358,0.979658936978834,0.992,"Ragans, Cole",Cole Ragans,TRUE,TRUE,52,14.7669037812836,41.2019230769231,10.9810270734852,0.888307519953951,10-20
670046,2023,204,0.941735493726652,0.99,234,0.984276918306127,0.996,"Rosenberg, Kenny",Kenny Rosenberg,TRUE,TRUE,120,14.819405958346,46.5975,10.0032051282051,-1.24319438883216,10-20
668674,2024,188,1.00001026845028,0.945,293,0.98123080511763,0.977,"Erceg, Lucas",Lucas Erceg,TRUE,TRUE,96,14.854902789775,40.4427083333333,7.58317335039817,5.57566618277308,10-20
671096,2024,381,0.97445316974534,0.981,1249,0.930632819261884,0.957,"Abbott, Andrew",Andrew Abbott,TRUE,TRUE,176,14.8803947851646,43.5573863636364,8.06585450178325,-2.96189811845757,10-20
665795,2026,367,1.00142869291356,0.95,203,0.942208121640034,0.961,"Cabrera, Edward",Edward Cabrera,TRUE,TRUE,217,15.092404501534,32.7092165898618,3.30567296996663,2.46671916882393,10-20
608344,2023,127,0.920318490940835,0.993,125,0.988968746181426,0.985,"Irvin, Cole",Cole Irvin,TRUE,TRUE,131,15.1215091728344,40.3809160305344,7.96188093464904,-10.0971731577475,10-20
666200,2025,520,0.951220014665156,0.995,1002,0.961717794137514,0.95,"Luzardo, Jesús",Jesús Luzardo,TRUE,TRUE,290,15.2672656299486,32.1437931034483,8.61229472090302,2.4423836533634,10-20
670241,2024,80,1.01155681427292,0.989,97,0.969821084620898,0.956,"Vines, Darius",Darius Vines,TRUE,TRUE,44,15.4514272134473,43.2022727272727,9.55981724461106,-5.84300828977058,10-20
666142,2025,207,1.00354989071634,0.995,534,0.971747553722409,0.987,"Ragans, Cole",Cole Ragans,TRUE,TRUE,113,15.5440534785314,37.5371681415929,10.8697623545789,12.8786089425754,10-20
571948,2023,97,0.944989415291215,0.991,92,0.909016745100674,0.982,"Milner, Hoby",Hoby Milner,TRUE,TRUE,90,15.7119132573481,-5.53111111111111,7.89657940663177,-0.659258665296277,10-20
660761,2024,243,0.918337503220978,0.864,395,0.931260087545397,0.909,"Suarez, José",José Suarez,TRUE,TRUE,123,15.8046902731663,40.4861788617886,9.95672532674694,-4.01409108334008,10-20
605288,2025,289,0.969384284944825,0.887,222,0.931408837916311,0.917,"Houser, Adrian",Adrian Houser,TRUE,TRUE,149,16.1119233277411,34.7563758389262,9.42092931858033,1.30051454917552,10-20
666142,2023,284,0.955612017403358,0.994,435,0.943526859751736,0.974,"Ragans, Cole",Cole Ragans,TRUE,TRUE,209,16.1477491454537,41.7679425837321,9.95677304324276,-4.93901207111095,10-20
608337,2025,534,1.044716322656,0.99,1145,0.970698171432741,0.995,"Giolito, Lucas",Lucas Giolito,TRUE,TRUE,296,16.183930219385,51.3631756756757,11.5740673315237,-7.04037238532771,10-20
643377,2026,310,0.913244676074923,0.803,228,0.903012553695988,0.869,"Jax, Griffin",Griffin Jax,TRUE,FALSE,183,16.2414042199353,44.9491803278689,5.09639056658039,1.85671839957923,10-20
678606,2024,91,0.935768812891153,0.973,96,0.976787484436919,0.978,"Ferrer, José A.",José A. Ferrer,TRUE,TRUE,48,16.3203007992204,32.34375,10.1510416666667,-1.12679257978137,10-20
547179,2024,394,0.952026341978269,0.973,565,0.911379195534361,0.947,"Lorenzen, Michael",Michael Lorenzen,TRUE,TRUE,204,16.4538704171079,40.9799019607843,9.18498264792643,5.88745071827204,10-20
668674,2023,131,0.972364799274114,0.942,163,0.96638247325631,0.97,"Erceg, Lucas",Lucas Erceg,TRUE,TRUE,98,16.4557913561526,44.1510204081633,7.55714285714286,4.13469356994921,10-20
656731,2023,117,0.913375139163559,0.922,555,0.908176301008553,0.893,"Megill, Tylor",Tylor Megill,TRUE,TRUE,148,16.5789344729213,38.7141891891892,7.19831679505593,-2.62681791291555,10-20
669276,2025,146,0.954971353752224,0.986,344,1.0017743920753,0.994,"Lee, Dylan",Dylan Lee,TRUE,TRUE,77,16.5818994341699,43.7831168831169,7.41958622772576,-1.62950377815755,10-20
669276,2026,127,0.971487674216363,0.992,221,1.00381190230888,0.994,"Lee, Dylan",Dylan Lee,TRUE,TRUE,53,16.591927554068,45.077358490566,7.82787501067191,17.3006138365903,10-20
669276,2024,104,0.972155666911325,0.986,283,1.01099298069207,0.991,"Lee, Dylan",Dylan Lee,TRUE,TRUE,61,16.6470463356617,43.427868852459,6.79717155391365,14.1553745625851,10-20
666142,2024,740,0.991528840352132,0.989,1299,0.964841265944113,0.993,"Ragans, Cole",Cole Ragans,TRUE,TRUE,425,16.6750562618428,44.1021176470588,10.589549608296,5.59290641741272,10-20
