pitcher,grp,pitch_type,player_name,n,resid_pp,whiff_pct,arm_diff,own_arm,fb_arm,as_gap,spin_nz_pct,cue_val,big,cue_pct,contrib_pp,aligned,share,sim_pct,nz_rate,axis_gap
669302,breaking,ST,"Gilbert, Logan",219,-3.97250549143607,33.3333333333333,4.34666359222297,41.8553143659993,44.5859484883756,-0.277150684931507,45.2054794520547,45.2054794520547,TRUE,0.607407407407407,0.107686933982886,FALSE,,61,45.2,-0.28
606303,breaking,ST,"Payamps, Joel",213,-2.78560045779053,26.2910798122066,2.4855145821269,30.0351851851852,30.907026212928,-0.312079812206573,40.3755868544601,40.3755868544601,TRUE,0.6,0.0994729852817013,FALSE,,60,40.4,-0.31
642232,breaking,ST,"Yarbrough, Ryan",492,5.34774391400295,35.5691056910569,5.82016905139148,11.1898457752394,16.9476737090764,-0.308315040650407,39.8373983739838,39.8373983739838,TRUE,0.592592592592593,0.0912590365805169,TRUE,0.0170649601117879,59,39.8,-0.31
595014,breaking,ST,"Treinen, Blake",299,2.04633524027992,39.1304347826087,2.14767412177852,32.1758044054896,32.3183265945852,-0.284745819397994,38.1270903010033,38.1270903010033,TRUE,0.585185185185185,0.0830450878793325,TRUE,0.0405823475277553,59,38.1,-0.28
670990,breaking,ST,"Ramírez, Yohan",335,-2.65398789319844,34.3283582089552,6.74520643895892,29.3344049473635,22.6576267844882,-0.269662686567164,35.2238805970149,35.2238805970149,TRUE,0.577777777777778,0.0748311391781481,FALSE,,58,35.2,-0.27
657277,breaking,ST,"Webb, Logan",788,-8.34146380750006,24.492385786802,3.36466342832285,20.6582689815315,23.8137179925841,-0.27518654822335,35.02538071066,35.02538071066,TRUE,0.57037037037037,0.0666171904769639,FALSE,,57,35,-0.28
694297,breaking,ST,"Pfaadt, Brandon",890,-2.32250184907228,31.9101123595506,4.1960538041853,25.1152790423867,29.1032105198915,-0.355323595505618,34.9438202247193,34.9438202247193,TRUE,0.562962962962963,0.0584032417757795,FALSE,,56,34.9,-0.36
681517,breaking,ST,"Leahy, Kyle",285,-10.4857248057259,25.2631578947368,2.71281175974237,43.4817543859649,45.7577985869453,-0.355105263157895,34.7368421052633,34.7368421052633,TRUE,0.555555555555556,0.0501892930745951,FALSE,,56,34.7,-0.36
669622,breaking,ST,"Bender, Anthony",454,1.5929948696594,26.8722466960352,11.5957029718731,10.875550660793,22.2608411376721,-0.257229074889868,31.4977973568283,31.4977973568283,TRUE,0.548148148148148,0.0419753443734107,TRUE,0.0263499557800745,55,31.5,-0.26
664875,breaking,ST,"Lawrence, Justin",444,-4.25630394635644,34.2342342342342,5.10916545919525,1.54750204750205,-2.84554384942467,-0.267837837837838,27.2522522522523,27.2522522522523,TRUE,0.540740740740741,0.0337613956722263,FALSE,,54,27.3,-0.27
681190,breaking,ST,"Vásquez, Randy",298,2.16398992410739,21.4765100671141,3.86739683335571,33.0334109090909,35.9293103175805,-0.371560402684564,26.1744966442952,26.1744966442952,TRUE,0.533333333333333,0.0255474469710419,TRUE,0.0118057143826951,53,26.2,-0.37
671106,breaking,ST,"Allen, Logan",481,2.68516424928049,28.2744282744283,3.13036008201747,38.812997903564,40.2963652177533,-0.34518711018711,25.3638253638254,25.3638253638254,TRUE,0.525925925925926,0.0173334982698575,TRUE,0.00645528416911634,53,25.4,-0.35
663969,breaking,ST,"Phillips, Tyler",316,2.60043624826586,36.7088607594937,2.39102444775379,27.7930379746835,29.4603406552494,-0.423449367088608,24.6835443037976,24.6835443037976,TRUE,0.518518518518519,0.00911954956867313,TRUE,0.00350693064471572,52,24.7,-0.42
601713,breaking,CU,"Pivetta, Nick",536,5.92432387801448,21.0820895522388,2.65243032769668,57.8319123314065,56.6055614002705,-0.154350746268657,99.6268656716418,99.6268656716418,TRUE,0.513157894736842,0.00317524458755293,TRUE,0.000535967420575443,51,99.6,-0.15
663903,breaking,ST,"Singer, Brady",359,1.65934263356589,35.933147632312,2.37482658449893,23.6030640668524,24.6748369172477,-0.371066852367688,23.6768802228412,23.6768802228412,TRUE,0.511111111111111,0.000905600867488735,TRUE,0.000545758813863909,51,23.7,-0.37
663947,breaking,ST,"Holton, Tyler",265,10.0374710157086,41.5094339622642,4.87601284694569,37.5159782608696,42.2654177834128,-0.332305660377359,21.8867924528302,21.8867924528302,TRUE,0.503703703703704,-0.00730834783369566,FALSE,,50,21.9,-0.33
656794,breaking,SV,"Newcomb, Sean",294,5.03437141897827,28.5714285714286,5.35154882799367,24.6168247158877,29.872137068282,-0.239244897959184,41.4965986394558,41.4965986394558,FALSE,0.5,-0.0114153221842878,FALSE,,50,41.5,-0.24
663623,breaking,CU,"Irvin, Jake",1064,4.2286783415407,25.4699248120301,3.13597344228287,27.9787418496509,27.9018501374333,-0.160936090225564,99.3421052631579,99.3421052631579,TRUE,0.5,-0.0114153221842878,FALSE,,50,99.3,-0.16
667755,breaking,KC,"Soriano, José",717,-8.40477998253302,42.1199442119944,6.82170775967448,40.458019525802,33.6505240383045,-0.198389121338912,87.866108786611,87.866108786611,TRUE,0.5,-0.0114153221842878,TRUE,0.00135819405243342,50,87.9,-0.2
608371,breaking,ST,"Sims, Lucas",337,5.80322074781912,30.8605341246291,2.84412059000165,37.4158385093168,39.3495139244367,-0.377756676557864,16.3204747774481,16.3204747774481,TRUE,0.496296296296296,-0.01552229653488,FALSE,,50,16.3,-0.38
676534,breaking,ST,"Faucher, Calvin",236,-5.61964532485241,27.5423728813559,4.73321006885588,40.9053892215569,44.090424396734,-0.355368644067797,13.9830508474576,13.9830508474576,TRUE,0.488888888888889,-0.0237362452360644,TRUE,0.00422379774237581,49,14,-0.36
605135,breaking,CU,"Bassitt, Chris",558,4.18119530679007,28.673835125448,8.30570938317201,40.9516129032258,32.7220993463804,0.170808243727599,98.9247311827957,98.9247311827957,TRUE,0.486842105263158,-0.0260058889561284,FALSE,,49,98.9,0.17
677161,breaking,ST,"Kelly, Zack",208,-0.344204099364079,30.2884615384615,3.43334893440219,34.4677777777778,37.6990076552504,-0.363274038461538,13.9423076923077,13.9423076923077,TRUE,0.481481481481482,-0.0319501939372488,TRUE,0.0928233975024618,48,13.9,-0.36
